|word|wordcount
0|главное управление|499
1|судя миру|447
2|уполномоченный правам|412
3|вице премьер|376
4|пресс секретарь|344
5|правам человека|328
6|риа новости|322
7|внешним признакам|260
8|президенте россии|232
9|прежнему остается|197
10|сообщает риа|195
11|уплаты налогов|176
12|военно транспортный|176
13|судя внешним|175
14|явка избирателей|162
15|пресс служба|157
16|правам ребенка|150
17|алкогольного опьянения|128
18|полученных травм|124
19|стороны россии|123
20|стороны сша|122
21|передает риа|119
22|премьер министр|115
23|температура воздуха|114
24|секретарь регионального|112
25|проводится проверка|112
26|секретарь президента|111
27|пресс конференция|106
28|находится контролем|101
29|управление делами|98
30|белого дома|97
31|регионального центра|96
32|президента россии|91
33|остается сложной|90
34|состоянии алкогольного|88
35|создает угрозу|86
36|качестве свидетеля|85
37|украинских властей|85
38|мнению экспертов|82
39|делами президента|81
40|поводу ситуации|81
41|передает тасс|81
42|территории страны|81
43|средняя зарплата|79
44|таким образом|79
45|регионального управления|78
46|некоторым данным|77
47|ребенка павел|74
48|транспортный позиции|74
49|стороны украинских|74
50|владимир путин|70
51|павел астахов|70
52|течение нескольких|68
53|дома шон|68
54|премьер министра|67
55|секретарь белого|65
56|одна сторон|65
57|россии владимир|63
58|служба регионального|63
59|главное отличие|62
60|экономической безопасности|60
61|президента сша|60
62|обеспечить безопасность|59
63|техническим причинам|59
64|укрепление рубля|58
65|дмитрий песков|56
66|состоянии опьянения|55
67|общего числа|55
68|нескольких дней|55
69|транспортный самолет|54
70|высокая цена|53
71|ущерб действий|52
72|продажи билетов|52
73|неназванные источники|52
74|контролю оборотом|51
75|оборотом наркотиков|51
76|управление борьбе|51
77|итар тасс|51
78|непосредственной близости|50
79|судя результатам|50
80|состоянии сильного|50
81|премьер потребовал|49
82|сборной россии|49
83|последние годы|49
84|сообщает тасс|48
85|территории россии|48
86|министр россии|47
87|инфляция прежнему|47
88|россии дмитрий|47
89|ссылкой неназванные|47
90|контролем украинских|46
91|борьбе терроризмом|44
92|серьезно пострадала|44
93|является одним|44
94|получил серьезные|44
95|международного валютного|44
96|комментариев стороны|43
97|валютного фонда|43
98|многим показателям|42
99|занимает последнее|42
100|владимира путина|42
101|массового поражения|42
102|лучший отличие|42
103|управление делам|41
104|делам беженцев|41
105|сильного алкогольного|40
106|ключевым фактором|40
107|республиканской партии|39
108|премьер россии|39
109|подсчета голосов|39
110|проводится техническим|39
111|техническое сотрудничество|39
112|хиллари клинтон|39
113|управление экономической|39
114|окружающей среды|38
115|сложной ситуации|38
116|демократической партии|38
117|миллиона долларов|37
118|серьезно серьезно|37
119|цена зависит|37
