|word|wordcount
0|долларов|2282
1|миллиарда|1020
2|результате|721
3|июля|639
4|сша|580
5|миллиардов|561
6|россии|497
7|словам|430
8|тысячи|406
9|летний|402
10|новости|400
11|риа|356
12|стран|344
13|заявил|326
14|апреля|322
15|ранее|287
16|украины|284
17|составила|280
18|напомним|259
19|сумма|258
20|июня|244
21|процента|239
22|сообщает|237
23|дней|237
24|области|232
25|итогам|217
26|президент|205
27|летнего|204
28|планируется|201
29|погибли|194
30|сделки|190
31|марта|180
32|страны|178
33|ходе|169
34|произошел|168
35|города|167
36|происшествия|166
37|решение|164
38|евро|163
39|мвд|163
40|принято|160
41|октября|160
42|мнению|158
43|человека|151
44|данным|149
45|министр|143
46|рф|143
47|сообщалось|142
48|вторник|140
49|мая|139
50|получили|139
51|двое|139
52|власти|136
53|свободы|135
54|участие|135
55|ранения|133
56|месте|133
57|месяцев|131
58|сообщил|131
59|премьер|130
60|течение|129
61|первом|129
62|сайте|128
63|го|127
64|стоимость|125
65|взрыва|124
66|ожидается|118
67|передает|114
68|акций|112
69|официальном|112
70|начале|111
71|инцидент|110
72|суд|107
73|является|107
74|возбуждено|107
75|уголовное|107
76|задержаны|107
77|агентства|104
78|ноября|104
79|произошло|101
80|информации|100
81|лишения|98
82|борту|96
83|августа|96
84|сотрудников|95
85|стороны|95
86|делу|94
87|матче|94
88|конфликта|94
89|российских|92
90|известно|92
91|говорится|91
92|отношении|91
93|неизвестна|91
94|компании|90
95|мае|88
96|отметил|85
97|территории|84
98|суток|84
99|безопасности|84
100|пятницу|83
101|совета|82
102|информация|82
103|пресс|82
104|зенита|80
105|инцидента|78
106|очков|78
107|места|77
108|службы|76
109|интерфакс|76
110|составит|76
111|заявила|76
112|санкт|75
113|четверг|75
114|представители|75
115|вице|75
116|сообщается|74
117|столице|73
118|житель|73
119|оценивается|73
120|москвы|73
121|агентство|73
122|суда|72
123|организации|72
124|авиакатастрофы|72
125|частности|72
126|членов|72
127|декабре|71
128|статье|70
129|закон|69
130|федерации|69
131|пассажиров|68
132|понедельник|67
133|провел|66
134|газа|66
135|состоится|66
136|очередь|66
137|министра|65
138|победы|65
139|сотрудники|65
140|находились|65
141|числе|65
142|января|64
143|президентом|63
144|должны|63
145|задержан|62
146|объем|61
147|матчей|61
148|украине|61
149|ммвб|61
150|расследование|60
151|миллиона|60
152|погибших|60
153|счетом|59
154|государства|59
155|программы|59
156|рублей|59
157|бишкека|59
158|бюджета|58
159|опрошенных|58
160|лиц|58
161|километров|58
162|готовы|58
163|стали|57
164|правоохранительных|57
165|властей|57
166|сми|56
167|способен|56
168|необходимо|56
169|главы|56
170|федерального|55
171|крыма|55
172|таких|55
173|отметили|55
174|петербурге|55
175|динамо|55
176|связи|55
177|пострадал|53
178|марте|53
179|встречи|53
180|выборов|52
181|военнослужащих|52
182|глава|52
183|ситуации|51
184|обмен|51
185|японии|51
186|выборах|51
187|лиги|51
188|удалось|50
189|планирует|50
190|сирии|50
191|самолет|49
192|районе|49
193|общая|48
194|данные|48
195|стало|48
196|сентября|48
197|килограммов|48
198|уточняется|48
199|состояться|47
200|участников|47
201|проведения|47
202|среди|47
203|число|47
204|россию|46
205|дмитрий|46
206|источник|46
207|работают|46
208|срок|45
209|составе|45
210|великобритании|45
211|приняли|45
212|период|44
213|активе|44
214|органов|43
215|момент|43
216|компания|43
217|сравнению|42
218|путин|42
219|финансов|42
220|подчеркнул|42
221|медведев|42
222|одним|41
223|торгов|41
224|курс|41
225|развития|41
226|нефть|41
227|собирается|41
228|портрет|40
229|сборной|40
230|количество|40
231|находятся|40
232|мужчина|40
233|доме|40
234|произошедшего|40
235|центра|40
236|право|39
237|деятельности|39
238|протяжении|39
239|представитель|39
240|завершить|39
241|бывшего|39
242|пост|38
243|сумму|38
244|образом|38
245|жертвами|38
246|подробности|38
247|наказание|38
248|февраля|38
249|дела|37
250|войск|37
251|проведено|37
252|сентябре|37
253|вынесен|37
254|появилась|37
255|состоянии|37
256|владимир|37
257|конце|37
258|мере|37
259|среднем|37
260|сезона|37
261|украина|37
262|оказались|37
263|президента|36
264|тяжелом|36
265|середине|36
266|внутренних|36
267|нескольких|36
268|балла|36
269|составляет|36
270|цене|36
271|настоящее|36
272|своем|36
273|феврале|35
274|российской|35
275|единой|35
276|ссылкой|35
277|произошла|35
278|банков|35
279|жителей|35
280|целью|35
281|правительство|35
282|годам|35
283|составил|35
284|скончался|35
285|москве|35
286|поводу|35
287|счет|35
288|меньшей|34
289|здания|34
290|ввести|34
291|тайно|34
292|факту|34
293|годах|34
294|правительства|34
295|участия|34
296|оппозиции|34
297|появились|34
298|военных|34
299|угрозу|34
300|предложения|34
301|боевиков|34
302|действовать|34
303|меры|33
304|войны|33
305|военные|33
306|вести|33
307|скорость|33
308|стоит|33
309|израиля|33
310|полугодии|33
311|случае|32
312|проектов|32
313|границе|32
314|доллар|32
315|донецкой|32
316|развивать|32
317|проекта|32
318|решению|32
319|беспорядков|32
320|одержал|32
321|уточняются|31
322|думал|31
323|первое|31
324|отмечается|31
325|попытки|31
326|пройдут|31
327|сообщаются|31
328|выиграл|31
329|управления|31
330|поступало|31
331|которую|31
332|раза|31
333|буш|31
334|кредитов|31
335|добавил|31
336|уровне|30
337|некоторые|30
338|предлагается|30
339|четырех|30
340|первую|30
341|степени|30
342|банк|30
343|администрации|30
344|утверждению|30
345|пакет|30
346|установить|30
347|стала|30
348|ираке|30
349|называется|30
350|текущем|30
351|оружия|30
352|региона|30
353|германии|29
354|воскресенье|29
355|моста|29
356|бывший|29
357|населения|29
358|последние|29
359|сборная|29
360|совещании|29
361|выборы|29
362|нанесен|29
363|годов|29
364|рассмотрение|29
365|песков|28
366|поддержке|28
367|счету|28
368|отметить|28
369|тяжести|28
370|мчс|28
371|размере|28
372|квартале|28
373|джордж|28
374|турции|28
375|неосторожности|28
376|матчах|28
377|этапе|28
378|ведомства|28
379|идет|27
380|уровень|27
381|здание|27
382|находилось|27
383|эксперты|27
384|сделанных|27
385|опустился|27
386|принять|27
387|прошел|27
388|штатов|27
389|несмотря|27
390|огня|27
391|подготовке|27
392|заместитель|27
393|законопроект|27
394|автобуса|27
395|таким|27
396|находился|27
397|реал|27
398|ближайшие|27
399|федеральной|27
400|работающий|27
401|информацию|27
402|продукции|27
403|чечне|26
404|релизе|26
405|индекс|26
406|парламентариев|26
407|службу|26
408|больницу|26
409|кемеровской|26
410|шести|26
411|итоге|26
412|проведение|26
413|намерена|26
414|смог|26
415|прошлом|26
416|стране|26
417|обнаружено|26
418|находится|26
419|комитета|26
420|сфере|26
421|приходится|26
422|проект|25
423|различной|25
424|городе|25
425|военно|25
426|прошли|25
427|режим|25
428|увидела|25
429|станции|25
430|проходит|25
431|список|25
432|рынка|25
433|речь|25
434|акции|25
435|находившиеся|25
436|попытались|25
437|часов|25
438|цен|24
439|состоянию|24
440|качестве|24
441|режима|24
442|нарушения|24
443|детей|24
444|киев|24
445|цска|24
446|рынке|24
447|заявление|24
448|трех|24
449|рамках|24
450|суде|24
451|европы|24
452|ближайшее|24
453|данный|24
454|ставки|24
455|подозреваемого|24
456|активистов|24
457|чехии|23
458|касается|23
459|использованы|23
460|перестрелки|23
461|виновным|23
462|ввп|23
463|увеличить|23
464|поединок|23
465|пострадавших|23
466|запланировано|23
467|местных|23
468|назвали|23
469|тысячу|23
470|александр|23
471|чечни|23
472|интервью|23
473|операции|23
474|крупнейших|23
475|странах|23
476|начались|23
477|улице|23
478|сезоне|22
479|луганской|22
480|ук|22
481|пострадали|22
482|автомобиль|22
483|днем|22
484|собеседник|22
485|фас|22
486|занимал|22
487|признан|22
488|предполагается|22
489|километрах|22
490|россией|22
491|входит|22
492|смогли|22
493|газета|22
494|остались|21
495|тюрьмы|21
496|поддержку|21
497|транспорта|21
498|позднее|21
499|сборную|21
500|причиной|21
501|комитет|21
502|бороться|21
503|получившие|21
504|действие|21
505|январе|21
506|уточнил|21
