|word|wordcount
0|получили ранения|3524
1|погибли получили|3477
2|результате аварии|2414
3|аварии погибли|2414
4|международный розыск|1883
5|объявлен международный|1883
6|результате взрыва|902
7|взрыва погибли|652
8|россии введены|562
9|введены ограничения|562
10|победителем олимпийских|547
11|олимпийских игр|547
12|сообщает интерфакс|425
13|россии россиян|413
14|россии победителем|331
15|сборы картины|321
16|россиян сборы|320
17|планирует ввести|265
18|ввести санкции|261
19|санкции россии|261
20|взрыва пострадал|250
21|ограничения курение|222
22|получила право|179
23|результате перестрелки|179
24|перестрелки погибли|173
25|россии олимпийским|143
26|результате атаки|143
27|олимпийским чемпионом|143
28|атаки погибли|143
29|ограничения ввоз|138
30|тонн нефти|127
31|особо крупном|123
32|крупном размере|123
33|ввоз продуктов|120
34|продуктов питания|120
35|продажу алкоголя|119
36|ограничения продажу|119
37|россии долларов|117
38|россии тонн|115
39|катастрофы погибли|104
40|результате катастрофы|104
41|осужден обвинению|99
42|экспорта нефти|99
43|получила экспорта|99
44|россии зафиксировано|96
45|россии объявлен|88
46|россии действуют|84
47|данным агентства|83
48|въезд страну|83
49|ограничения въезд|83
50|агентства результате|83
51|обвинению мошенничестве|82
52|питания введены|82
53|введены эксплуатацию|82
54|мошенничестве особо|82
55|инфляция россии|75
56|миллиардов долларов|75
57|достигла процента|71
58|россии достигла|71
59|россии миллиона|63
60|вопросам здравоохранения|53
61|избран депутатом|52
62|депутатом госдумы|52
63|госдумы вопросам|52
64|чемпионом хоккею|47
65|миллиона долларов|47
66|россии чемпионом|46
67|победителем тендера|45
68|погибли включая|43
69|получила общего|43
70|мошенничество особо|41
71|осужден мошенничество|41
72|чемпионат футболу|38
73|россии россии|37
74|включая получили|36
75|размере миллиардов|35
76|хоккею выиграв|33
77|топливо размере|33
78|выиграв чемпионат|33
79|чемпионом футболу|33
80|россии задержаны|29
81|россии пошлин|27
82|сборной россии|27
83|составе сборной|26
84|общего объема|26
85|пошлин топливо|26
86|избран президентом|26
87|президентом россии|26
88|россии владимиром|26
89|объема добычи|26
90|провел матчей|26
91|матчей забил|26
92|добычи нефти|26
93|владимиром путиным|26
94|получила миллиардов|24
95|россии премию|22
96|мяса птицы|21
97|забил мячей|21
98|россии полузащитник|21
99|ввоз мяса|21
100|полузащитник провел|21
101|землетрясения погибли|20
102|результате землетрясения|20
103|птицы рубежа|20
104|процента процента|19
105|россии евро|19
106|россии введено|19
107|россии процента|19
108|введено эксплуатацию|19
109|чемпионом россии|19
110|результате теракта|19
111|теракта погибли|19
112|россии подано|18
113|ранения различной|18
114|различной степени|18
115|степени тяжести|18
116|числа мигрантов|17
117|пройдет бразилии|17
118|общего числа|17
119|подано евро|16
120|метров жилья|15
121|погибли двое|15
122|квадратных метров|15
123|заключила иран|15
124|хоккею пройдет|14
125|премию грэмми|14
126|миллиона тонн|14
127|здравоохранения россии|14
128|составил процента|13
129|ввп россии|13
130|россии составил|13
131|статье ук|12
132|возбуждено уголовное|12
133|рф нарушение|12
134|факту произошедшего|12
135|ук рф|12
136|произошедшего возбуждено|12
137|уголовное статье|12
138|нарушение правил|12
139|двое получили|11
140|нефти продукции|11
141|премию оскар|11
142|эксплуатацию миллиона|11
143|су су|11
144|безопасности движения|10
145|инцидента пострадал|10
146|результате инцидента|10
147|предварительным данным|10
148|правил безопасности|10
149|ираке ираке|9
150|ан ан|9
151|сообщает официальный|9
152|войну ираке|9
153|убийстве ребенка|9
154|иран войну|9
155|официальный сайт|9
156|обвинению убийстве|9
157|превышении полномочий|8
158|обвинению превышении|8
159|планирует потратить|8
160|россии принят|8
161|тысячи квадратных|8
162|сборная россии|8
163|отстранен должности|8
164|поставлять топливо|8
165|эксплуатацию тысячи|8
166|губернатора области|7
167|планирует поставлять|7
168|должности губернатора|7
169|сыграет победителем|7
170|россии сыграет|7
171|миллиона квадратных|7
172|право эксплуатацию|7
173|сайт нба|6
174|включая числе|6
175|кубка дэвиса|6
176|министерства обороны|6
177|данным результате|6
178|россии данным|6
179|россии миллиардов|6
180|данным министерства|6
181|матче отборочного|5
182|миллиона рублей|5
183|чемпионате россии|5
184|получил ранения|5
185|рио де|5
186|отношении ряда|5
187|сезона форвард|5
188|форвард провел|5
189|россии сезона|5
190|россии отношении|5
191|отборочного турнира|5
192|забил голов|5
193|де жанейро|5
194|россии хоккею|5
195|право чемпионат|5
196|финале кубка|5
197|потратить миллиардов|5
198|действуют американских|4
199|победителем пары|4
200|ряда стран|4
201|россии составе|4
202|россии занимал|4
203|дэвиса сборная|4
204|включая су|4
205|россии составила|4
206|членов евросоюза|4
207|занимал пост|4
208|первом матче|4
209|двое ранены|4
210|издания результате|4
211|нижнего новгорода|4
212|данным погибли|4
213|военнослужащих включая|4
214|избран мэром|4
215|данным издания|4
216|американских военнослужащих|4
217|стран членов|4
218|составила процента|4
219|мэром нижнего|4
220|принят закон|4
221|украину европу|3
222|полицейские обнаружили|3
223|продала миллиардов|3
224|грэмми литве|3
225|сотрудников правоохранительных|3
226|правоохранительных органов|3
227|сайт лиги|3
228|результате терактов|3
229|добычу нефти|3
230|иран украину|3
231|курение литве|3
232|игр рио|3
233|пошлин добычу|3
234|перестрелки сотрудников|3
235|пост президента|3
236|эмбарго ввоз|3
237|нефти пошлин|3
238|погиб ранен|3
239|терактов погибли|3
240|данным следствия|3
241|обнаружили тела|3
242|ввести эмбарго|3
243|турнира сборная|3
244|закон запрете|2
245|закон бюджете|2
246|происшествия полицейские|2
247|миллиардов рублей|2
248|словам представителя|2
249|пары финале|2
250|запрете пропаганды|2
251|россии рио|2
252|представителя следственного|2
253|жанейро августа|2
254|следственного комитета|2
255|стран снг|2
256|потратить вооружение|2
257|сша барака|2
258|турнира евро|2
259|россии стран|2
260|перешел челси|2
261|нападавших погиб|2
262|россии оценкам|2
263|оценкам экспертов|2
264|россии размере|2
265|форвард перешел|2
266|обстрелов погибли|2
267|су ан|2
268|перестрелки нападавших|2
269|президента сша|2
270|пропаганды вступил|2
271|правил дорожного|2
272|прибывшие происшествия|2
273|пары матче|2
274|лишения свободы|2
275|экспертов миллиона|2
276|барака обамы|2
277|футболу пройдет|2
278|дорожного движения|2
279|россии футболу|2
280|силу сентября|2
281|вступил силу|2
282|органов получил|2
283|финале лиги|1
284|результате ракетных|1
285|государственной думы|1
286|миллиардов кубометров|1
287|тела троих|1
288|иран территории|1
289|пистолет макарова|1
290|годам лишения|1
291|обороны миллиардов|1
292|территории страны|1
293|россии инфляция|1
294|включая сирию|1
295|хоккею обыграла|1
296|победителем конкурса|1
297|действуют включая|1
298|ряда компаний|1
299|людей приговорили|1
300|чемпионов пройдет|1
301|россии сборы|1
302|долларов вооружение|1
303|двое молодых|1
304|водителя пистолет|1
305|ввести войска|1
306|ан погибли|1
307|челси составе|1
308|финала кубка|1
309|следствия результате|1
310|нападения погибли|1
311|губернатором штата|1
312|ввоз продовольствия|1
313|конкурса евровидение|1
314|самолета ан|1
315|включая человека|1
316|неизвестного водителя|1
317|обыграла сборную|1
318|настоящее находятся|1
319|россии выросла|1
320|тела неизвестного|1
321|результате падения|1
322|россии избран|1
323|пожизненному заключению|1
324|действуют числе|1
325|выделено миллиардов|1
326|следствия задержан|1
327|перестрелки погиб|1
328|пройдет москве|1
329|подано числе|1
330|ранения ног|1
331|результате обстрелов|1
332|задержаны двое|1
333|поставляться украину|1
334|ракетных обстрелов|1
335|войска россии|1
336|сборную россии|1
337|иран сможет|1
338|приговорили пожизненному|1
339|полиции результате|1
340|ресторане офисе|1
341|штата нью|1
342|заключила францией|1
343|министра иностранных|1
344|президента россии|1
345|экономика россии|1
346|рублей миллиардов|1
347|комитета грозит|1
348|ног получил|1
349|органов погиб|1
350|заключила россии|1
351|задержали ресторане|1
352|избран губернатором|1
353|свободы сообщается|1
354|сможет поставлять|1
355|акций норникеля|1
356|прибывшие полицейские|1
357|матче финала|1
358|падения самолета|1
359|продовольствия россию|1
360|комитета задержали|1
361|депутатом государственной|1
362|россии приговорен|1
363|россии выплатит|1
364|медиа моста|1
365|троих погибших|1
366|числе беженцев|1
367|данным полиции|1
368|погиб получил|1
369|вооружение миллиардов|1
370|россии акций|1
371|россии финале|1
372|продукции украину|1
373|тела погибших|1
374|россии поставляться|1
375|следствия задержаны|1
376|россии отстранен|1
377|задержаны числе|1
378|сирию сша|1
379|россии выделено|1
380|приговорен годам|1
381|кубометров газа|1
382|состав сборной|1
383|включен состав|1
384|пост министра|1
385|россии сформирован|1
386|выплатит ввоз|1
387|результате нападения|1
388|россию миллиона|1
389|включая включая|1
390|обамы процента|1
391|евровидение пройдет|1
392|нью йорк|1
393|топливо россии|1
394|думы вопросам|1
395|лиги чемпионов|1
396|хоккею состоялся|1
397|числе детей|1
398|грозит лишения|1
399|ранения получил|1
400|оскар премию|1
401|объявлен победителем|1
402|получила процента|1
403|офисе медиа|1
404|нефти процента|1
405|иран планирует|1
406|долларов миллиардов|1
407|молодых людей|1
408|выросла процента|1
409|погибли числе|1
