|word|wordcount
0|сообщает риа новости|377
1|россии владимир путин|242
2|президент россии владимир|226
3|источник правоохранительных органах|193
4|ссылкой источник правоохранительных|190
5|риа новости ссылкой|157
6|сообщает официальный сайт|146
7|новости ссылкой источник|116
8|результате инцидента пострадал|113
9|владимир путин заявил|111
10|погибли получили ранения|111
11|статье ук рф|108
12|месте происшествия работают|102
13|ходе расследования выяснилось|97
14|возбуждено уголовное статье|92
15|уголовное статье ук|92
16|начале апреля президент|92
17|владимир путин подписал|90
18|пост главы государства|86
19|путин подписал указ|82
20|сообщает интерфакс ссылкой|75
21|интерфакс ссылкой источник|74
22|частности начале апреля|67
23|настоящее стране насчитывается|65
24|официальный сайт турнира|63
25|результате взрывов погибли|63
26|передает риа новости|62
27|является одним крупнейших|61
28|апреля президент россии|58
29|происшествия работают следователи|58
30|федерации хоккея россии|56
31|сайт федерации хоккея|56
32|официальный сайт федерации|56
33|среду мая сообщает|50
34|сообщается сайте ведомства|48
35|составе сборной россии|48
36|погибли человека получили|47
37|россии владимиром путиным|47
38|подписал указ назначении|46
39|результате происшествия пострадал|46
40|настоящее месте происшествия|46
41|президентом россии владимиром|46
42|декабря президент россии|46
43|указ назначении нового|44
44|среду декабря сообщает|44
45|результате происшествия погибли|43
46|нарушение правил безопасности|40
47|мая президент россии|40
48|ходе торговой сессии|40
49|сайте следственного комитета|40
50|президент украины петр|39
51|вынужден покинуть страну|39
52|украины петр порошенко|39
53|является одним самых|39
54|следственного комитета россии|38
55|возбуждении уголовного дела|37
56|состоянии алкогольного опьянения|37
57|петр порошенко заявил|36
58|словам представителя полиции|35
59|ссылкой пресс службу|34
60|сотрудники правоохранительных органов|34
61|закон запрете пропаганды|33
62|ходе столкновений полицией|33
63|сообщается сайте следственного|33
64|правил безопасности движения|32
65|различной степени тяжести|32
66|финале лиги чемпионов|32
67|случае вина доказана|32
68|вынужден покинуть пост|31
69|отношении возбуждено уголовное|31
70|сша дональд трамп|31
71|франции франции франции|30
72|результате пожара погибли|30
73|пост главного тренера|30
74|президент сша дональд|30
75|встреча завершилась счетом|29
76|человека получили ранения|28
77|сша барак обама|28
78|ходе расследования инцидента|28
79|заявил случае победы|28
80|назначении нового директора|28
81|президент сша барак|28
82|словам представителя ведомства|28
83|расследования выяснилось ходе|27
84|правительство намерено пересмотреть|27
85|новости ссылкой пресс|27
86|результате инцидента погибли|26
87|взрывов погибли человека|26
88|отношении представителя власти|25
89|рф нарушение правил|25
90|газпром является одним|25
91|намерено пересмотреть условия|24
92|сборной россии футболу|24
93|сша барака обамы|24
94|ук рф нарушение|24
95|подписал указ введении|24
96|начале мая президент|23
97|отношении задержанного возбуждено|23
98|президента сша барака|23
99|глава государства заявил|23
100|задержанного возбуждено уголовное|23
101|инцидент произошел утром|23
102|рф применение насилия|22
103|отметил правительство намерено|22
104|нового кабинета министров|22
105|словам представителя министерства|22
106|одним крупнейших российских|21
107|ук рф применение|21
108|признает виновным причастности|21
109|выяснилось ходе расследования|21
110|человека получили травмы|20
111|правительство намерено обратиться|20
112|пост президента сша|20
113|главного тренера сборной|20
114|премьер министр россии|20
115|случае принятия решения|20
116|словам представителя гувд|20
117|взрывов погибли получили|20
118|апреля президент сша|20
119|ук рф мошенничество|20
120|ближайшее стране насчитывается|19
121|крупнейших российских банков|19
122|решается возбуждении уголовного|19
123|россии владимира путина|19
124|результате взрыва погибли|19
125|покинуть пост главы|19
126|президента россии владимира|19
127|результате погибли получили|19
128|пишет газета ведомости|19
129|начале апреля заявил|19
130|происшествия погибли человека|19
131|результате взрыва пострадал|19
132|тренера сборной россии|18
133|ноября президент россии|18
134|происшествия работают специалисты|18
135|ук рф убийство|18
136|дональд трамп заявил|18
137|газпром намерен обратиться|18
138|хоккея россии фхр|18
139|получили ранения различной|18
140|вынуждены покинуть дома|18
141|находится состоянии алкогольного|18
142|ранения различной степени|18
143|особо крупном размере|18
144|факту произошедшего возбуждено|17
145|режим чрезвычайной ситуации|17
146|сокращении добычи нефти|17
147|ранее среду декабря|17
148|главного редактора газеты|17
149|находится следственном изоляторе|17
150|ходе расследования дела|17
151|данным следствия результате|17
152|россии прошел референдум|17
153|территории россии действуют|17
154|путин заявил ходе|17
155|представителя гувд москвы|17
156|представителя министерства обороны|17
157|произошедшего возбуждено уголовное|17
158|заявил ходе дискуссии|17
159|происшествия прибыли сотрудники|17
160|заявил правительство намерено|17
161|президенту россии владимиру|17
162|данным издания погибли|17
163|россии владимиру путину|17
164|настоящее стране действуют|17
165|подписал указ реабилитации|17
166|министерства обороны россии|17
167|австралии австралии австралии|17
168|назначении нового кабинета|17
169|избран президентом россии|17
170|мая сообщает интерфакс|17
171|настоящее россии насчитывается|17
172|россии совершено покушение|16
173|результате мероприятий погибли|16
174|настоящее находится состоянии|16
175|апреля премьер министр|16
176|некоторых регионах страны|16
177|пресс службу ведомства|16
178|тяжкого вреда здоровью|16
179|настоящее находится больнице|16
180|начале апреля премьер|16
181|аналогичный период прошлого|16
182|умышленное причинение тяжкого|16
183|конкурсе приняли участие|16
184|вооруженный конфликт донбассе|16
185|принят закон запрете|16
186|причинение тяжкого вреда|16
187|некоторых районах страны|16
188|погибли числе детей|16
189|указ реабилитации крымско|16
190|премьер министр украины|16
191|барак обама подписал|16
192|произошел взрыв произошел|16
193|конфликт донбассе начался|16
194|заявил газпром намерен|16
195|ранее сообщалось ходе|15
196|заместителем министра обороны|15
197|числе полевых командиров|15
198|министр украины арсений|15
199|обратиться президенту россии|15
200|находились членов экипажа|15
201|россии дмитрий медведев|15
202|пост главного редактора|15
203|результате погибли числе|15
204|президентом сша бараком|15
205|проводится расследование обстоятельств|15
206|одним самых успешных|15
207|сша бараком обамой|15
208|стоимость квадратного метра|15
209|министра обороны россии|15
210|москве прошел референдум|15
211|борту лайнера находились|15
212|движения эксплуатации воздушного|15
213|сообщили риа новости|15
214|риа новости заявил|15
215|одним крупнейших нефтяных|15
216|подписал закон запрете|15
217|украины арсений яценюк|15
218|словам очевидцев результате|15
219|работает следственная группа|15
220|ук рф умышленное|14
221|наблюдается рост цен|14
222|выплату дивидендов размере|14
223|среду июля сообщает|14
224|россии введены ограничения|14
225|декабря сообщает риа|14
226|уполномоченного правам человека|14
227|членов экипажа членов|14
228|официальный сайт уефа|14
229|крупнейших нефтяных компаний|14
230|одним самых популярных|14
231|мая сообщает риа|14
232|экипажа членов экипажа|14
233|рф умышленное причинение|14
234|начале августа сообщалось|14
235|словам настоящее стране|14
236|правил дорожного движения|14
237|настоящее находится следственном|14
238|владимир путин предложил|14
239|донбассе начался весной|14
240|министр россии дмитрий|13
241|годам лишения свободы|13
242|нарушение правил дорожного|13
243|составила квадратных метров|13
244|введении визового режима|13
245|назначен пост главы|13
246|борту самолета находились|13
247|настоящее решается возбуждении|13
248|безопасности движения эксплуатации|13
249|исламское государство иг|13
250|данным министерства обороны|13
251|насилия отношении представителя|13
252|мая сообщает украинская|13
253|интервью газете ведомости|13
254|правительство намерено выделить|13
255|предварительным данным результате|13
256|результате пожара здании|13
257|хранении взрывчатых веществ|13
258|расследование обстоятельств происшествия|13
259|летний местный житель|13
260|декабря сообщает интерфакс|13
261|удастся выиграть выборы|13
262|великой отечественной войне|13
263|месте происшествия работает|13
264|стране принято решение|13
265|размере миллиардов рублей|13
266|настоящее отношении возбуждено|13
267|словам ближайшее стране|13
268|правительство намерено увеличить|13
269|представителей белого дома|13
270|применение насилия отношении|13
271|решение назначении нового|13
272|апреля президент украины|13
273|происшествия работает следственная|12
274|попытках экономического сотрудничества|12
275|настоящее устанавливаются обстоятельства|12
276|словам представителей белого|12
277|группировка исламское государство|12
278|попытки новых властей|12
279|составил миллиарда долларов|12
280|начале апреля сообщалось|12
281|настоящее районе подмосковья|12
282|пожара погибли человека|12
283|начался весной попытки|12
284|общий объем инвестиций|12
285|происшествия работают спасатели|12
286|решение возбуждении уголовного|12
287|составила миллиарда долларов|12
288|общий объем финансирования|12
289|арсений яценюк заявил|12
290|погибли человека числе|12
291|звания героя россии|12
292|намерен обратиться суд|12
293|настоящее вооружении ввс|12
294|путин заявил готова|12
295|рост цен нефть|12
296|объем финансирования составил|12
297|результате погибли человека|12
298|начале апреля правительство|12
299|сообщалось правительство намерено|12
300|москве прошел митинг|12
301|ближайшее стране принято|12
302|колонии строгого режима|12
303|путин предложил ужесточить|12
304|указ введении новых|12
